City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Hailar,CN,49.2,119.7,58.51,69,98,7.16,overcast clouds
334,Mayo,US,38.8876,-76.5119,90.12,71,0,1.99,clear sky
335,Hasaki,JP,35.7333,140.8333,79.29,91,100,17.56,overcast clouds
336,Jiexiu,CN,37.0244,111.9125,69.57,95,100,2.73,overcast clouds
337,Ahuimanu,US,21.4447,-157.8378,78.51,76,0,12.66,clear sky
338,Makakilo City,US,21.3469,-158.0858,77.32,66,0,12.66,clear sky
339,Police,PL,53.5521,14.5718,81.54,39,51,1.99,broken clouds
340,Qui Nhon,VN,13.7667,109.2333,80.67,75,100,5.59,overcast clouds
341,Pisco,PE,-13.7,-76.2167,60.85,82,100,6.91,mist
342,Avera,US,33.194,-82.5271,81.91,60,100,8.5,overcast clouds
343,Fairview,US,40.8126,-73.999,85.53,58,75,10.36,broken clouds
344,Leh,IN,34.1667,77.5833,74.14,28,9,6.13,clear sky
345,Raposa,BR,-6.5167,-44.1833,94.35,19,6,6.96,clear sky
346,Agadez,NE,19.75,10.25,105.26,15,3,4.97,clear sky
